Rank,Variable,Mean absolute SHAP,HSLS variable description,Feature dimension
1,X2SEX,0.1360960083141021,"X2SEX is the sample member's sex. The composite is based on data from the BY student questionnaire, parent questionnaire, and/or school-provided sampling roster, and then updated when missing with data from the F1 student questionnaire.",Demographic/SES controls
2,S2SCAREER,0.1130608240975925,Why [are/were] you taking [science course title] ? Would you say you [are/were] taking it because... you will need it for your career? 1=Yes 0=No,Career interests and aspirations
3,S2SEX,0.09963551105393513,Are you... 1=Male or 2=Female? Programming note: Values have been filled with the response from the base year student interview. Administered To: Respondents who did not participate in base year. Crossround Note: This variable is a repeat of the BY variable S1SEX.,Demographic/SES controls
4,S2MCAREER,0.09956888244635728,Why [are/were] you taking [math course title] ? Would you say you [are/were] taking it because... you will need it for your career? 1=Yes 0=No,Career interests and aspirations
5,X1SEX,0.09905802831173995,"Sex of the sample member, taken from the base year student questionnaire, parent questionnaire, and/or school-provided sampling roster. If the sex indicated by any of these three sources was inconsistent, X1SEX was coded based on manual review of the sample member's first name.",Demographic/SES controls
6,X2SCIID,0.09821853313182279,"This variable is a scale of the sample member's science identity. Sample members who tend to agree with the statements ""You see yourself as a science person"" and/or ""Others see me as a science person"" will have higher values for X2SCIID. Variable was created through principal components factor analysis (weighted by W2STUDENT) and standardized to a mean of 0 and standard deviation of 1. The inputs to this scale were S2SPERSON1 and S2SPERSON2. Only respondents who provided a full set of responses were assigned a scale value. The coefficient of reliability (alpha) for the scale is .65 or higher. For more information on this scale score, please see chapter 5 of the F1 Data File Documentation (NCES 2014-361). Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -9.00 1.86 -1.20 3.10",Skills and self-efficacy
7,S2FAVSUBJ,0.08403570954409662,"Not including lunch or study periods, what [is/was] your favorite school subject? 1=English 2=Foreign language 3=Science 4=Art 5=Music 6=Mathematics 7=Physical education or gym 8=Religion 9=Health education 10=Computer science 11=Social studies, history, government, or civics 12=Career preparation class such as health professions, business, or culinary arts 13=Other subject",Career interests and aspirations
8,X2MTHID,0.08071843178506365,"This variable is a scale of the sample member's math identity. Sample members who tend to agree with the statements ""You see yourself as a math person"" and/or ""Others see me as a math person"" will have higher values for X2MTHID. This variable was created through principal components factor analysis (weighted by W2STUDENT) and standardized to a mean of 0 and standard deviation of 1. The inputs to this scale were S2MPERSON1 and S2MPERSON2. Only respondents who provided a full set of responses were assigned a scale value. The coefficient of reliability (alpha) for the scale is .65 or higher. For more information on this scale score, please see chapter 5 of the F1 Data File Documentation (NCES 2014-361). Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -9.00 1.82 -1.16 3.07",Skills and self-efficacy
9,S2SUSEJOB,0.06728701184284057,How much do you agree or disagree with the following statements about science? Science is useful for a future career. 1=Strongly agree 2=Agree 3=Disagree 4=Strongly disagree Administered To: All respondents Crossround Note: This variable is a repeat of the BY variable S1SUSEJOB.,Career interests and aspirations
10,X3THIPHY,0.0665715625004277,"Highest Physics course, which is the first two digits of the course SCED code: 03.",Academic performance/preparation
